Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,402.3
2003,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,414.6
2004,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,423.1
2005,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,426.9
2006,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,425.8
2007,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,420.5
2008,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,412.5
2009,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,402.1
2010,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,389.1
2011,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,373.4
2012,A,3,423.4,223.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,404,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,355.3
