Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.07505
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_1,None,RO,2025-12-04T00:00:00,2022,1.02466
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.21035
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.11023
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.13369
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_2,None,RO,2025-12-04T00:00:00,2022,1.05867
2003,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.69259
2008,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.76519
2014,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,0.82132
2022,A,0,,Kenya  DHS 2022.  The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 31 October 2025.,SE_AGP_CPRA,404,None,None,None,Q3,ISCED11_3,None,RO,2025-12-04T00:00:00,2022,1.06349
