Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.80391
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.95058
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.95071
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.2268
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.08116
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,0.90804
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.13911
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.17438
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.11838
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.16286
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.18071
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.16852
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF3,T,2025-12-09T00:00:00,2024,,1.20134
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.11447
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.10352
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.08284
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.07919
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09624
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09571
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09814
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09313
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09677
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.1039
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.10395
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.10803
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.09925
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.10362
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.08945
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.11637
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.12961
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.12663
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13305
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13505
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13549
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13619
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13437
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.13006
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF4,T,2025-12-09T00:00:00,2024,,0.1289
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.00781
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.03389
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,-0.00592
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,-0.00021
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,-0.00423
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.00291
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.01452
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.03155
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.01886
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.01363
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.01737
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,4e-05
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,5e-05
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.0325
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.0001
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.07973
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.08678
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10887
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.09131
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.11184
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10723
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10906
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10985
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10798
2024,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF5,T,2025-12-09T00:00:00,2024,,0.10955
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00156
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00183
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00126
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.0011
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00129
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00119
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.0013
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00136
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00147
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00147
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00193
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.0
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.0
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00223
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.0
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00235
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00271
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00333
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00427
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,404,MF6,T,2025-12-09T00:00:00,2024,,0.00435
