Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,2572.0
2006,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,17.0
2007,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,11.0
2008,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,62.0
2009,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,282.0
2010,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,154.0
2011,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,39.0
2012,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,25.0
2013,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,181.0
2014,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,224.0
2015,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,723.0
2016,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,673.0
2017,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,21.0
2019,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,4371.0
2020,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,1777.0
2021,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,1706.0
2022,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,3397.0
2023,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,99.0
2024,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MMHN,404,NUMBER,2025-03-13T00:00:00,2024,2.0
2005,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,2542.0
2006,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,17.0
2007,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,11.0
2008,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,62.0
2009,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,282.0
2010,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,148.0
2011,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,36.0
2012,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,24.0
2013,A,0,Disclaimer: The data being submitted by UNDRR has been extracted from the Sendai Framework Monitoring System as provided by designated national focal points. Some of the data has not followed an official validation process and may be subject to revision at a later date.,United Nations Office for Disaster Risk Reduction (2025),VC_DSR_MORT,404,NUMBER,2025-03-05T00:00:00,2024,172.0
