Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,44.3
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,43.1
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.6
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,42.5
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.7
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,41.1
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.7
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,40.1
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,39.5
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRT,404,M,Y0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,38.3
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,76768.0
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,75808.0
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,74339.0
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,72258.0
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_IMRTN,404,None,Y0,NUMBER,2025-03-19T00:00:00,2023,69905.0
